subtype,donor,section,pc,morans_I,CPS
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,6,-0.07058773267983542,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,7,-0.021371496844994235,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,8,-0.008261058939720418,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,9,0.012434221720805124,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,10,0.04388655165830995,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,11,0.031944764200111164,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,12,0.054948335574324124,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,13,-0.023992080380536563,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,14,0.07932053516362862,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,15,0.01822677788535962,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,16,-0.0856048388990054,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,17,0.031260033192003114,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,18,0.12813951098801454,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,19,0.05669739348515094,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,20,0.06309961584574046,0.588881872
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,1,0.02130998756781222,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,2,0.14989850294529578,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,3,0.030363954981737305,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,4,0.16299865331483848,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,5,0.11986439555526288,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,6,-0.0016798360514736555,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,7,0.013459685925719962,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,8,-0.13104814875139714,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,9,-0.06358280723269606,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,10,-0.0691068344715127,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,11,0.044526786890465415,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,12,-0.008925760104278096,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,13,-0.04992933748096522,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,14,-0.09062143920514261,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,15,0.01522007016680117,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,16,-0.045183199037052056,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,17,-0.03722754006358175,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,18,-0.026442066631161623,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,19,-0.029668078083929416,0.149616331
Astrocyte,H21.33.001,H21.33.001.Cx22.MTG.02.007.1.01.03,20,-0.054511391488971654,0.149616331
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,1,0.05006477613379171,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,2,0.10626368052895477,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,3,0.10392989821316047,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,4,0.09438884981965,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,5,0.12677411277434153,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,6,0.133447611220633,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,7,0.0600469196105638,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,8,0.0430756177789482,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,9,0.04954255088807886,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,10,0.02873353033668298,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,11,0.007611862313105855,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,12,-0.006246733820885343,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,13,0.12028798917879566,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,14,0.06762018975328592,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,15,0.023910651979501325,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,16,0.056307387227923264,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,17,0.014844099730531829,0.838095749
