subtype,cluster,severity,spearman_r,p,N,fdr_q
L4 IT,c2,tau_minus_amyloid,-0.6904761904761906,0.057990318164572716,8,0.6190589733500536
Oligodendrocyte,c0,Braak,0.10259783520851541,0.8695979205185651,5,0.9173780260415632
Oligodendrocyte,c0,Thal,-0.31622776601683794,0.604181303590592,5,0.8434988143518731
Oligodendrocyte,c0,CERAD,-0.15811388300841897,0.7995251457913304,5,0.8778830860615703
Oligodendrocyte,c0,ADNC,-0.31622776601683794,0.604181303590592,5,0.8434988143518731
Oligodendrocyte,c0,CPS,0.3,0.6238376647810728,5,0.8434988143518731
Oligodendrocyte,c0,sevPC1,-0.3,0.6238376647810728,5,0.8434988143518731
Oligodendrocyte,c0,sevPC2,0.19999999999999998,0.747060078104662,5,0.8537829464053279
Oligodendrocyte,c0,tau_minus_amyloid,0.7,0.1881204043741873,5,0.6589457976605887
Oligodendrocyte,c1,Braak,0.05735393346764044,0.9270147594389622,5,0.9569184613563481
Oligodendrocyte,c1,Thal,0.17677669529663687,0.776098765203267,5,0.876535075994278
Oligodendrocyte,c1,CERAD,0.4124789556921527,0.4901131465801581,5,0.7883619920271318
Oligodendrocyte,c1,ADNC,0.35355339059327373,0.5594043441634877,5,0.8434988143518731
Oligodendrocyte,c1,CPS,-0.22360679774997896,0.7176856442107861,5,0.8537829464053279
Oligodendrocyte,c1,sevPC1,0.4472135954999579,0.45018485575210093,5,0.7883619920271318
Oligodendrocyte,c1,sevPC2,-0.11180339887498948,0.8579446176050993,5,0.9151409254454392
Oligodendrocyte,c1,tau_minus_amyloid,-0.4472135954999579,0.45018485575210093,5,0.7883619920271318
Oligodendrocyte,c2,Braak,-0.6155870112510925,0.2689977701158222,5,0.7883619920271318
Oligodendrocyte,c2,Thal,0.0,1.0,5,1.0
Oligodendrocyte,c2,CERAD,-0.26352313834736496,0.6683968370871736,5,0.8537829464053279
Oligodendrocyte,c2,ADNC,-0.21081851067789192,0.7335793204938506,5,0.8537829464053279
Oligodendrocyte,c2,CPS,-0.3,0.6238376647810728,5,0.8434988143518731
Oligodendrocyte,c2,sevPC1,-0.19999999999999998,0.747060078104662,5,0.8537829464053279
Oligodendrocyte,c2,sevPC2,-0.7,0.1881204043741873,5,0.6589457976605887
Oligodendrocyte,c2,tau_minus_amyloid,-0.9999999999999999,1.4042654220543672e-24,5,1.3480948051721924e-22
