subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max,q_fdr,q_eqsec
Astrocyte,AC124254.2,499,0.0220562741516552,0.0217193340382526,0.169,0.0173393332156988,0.486,17,1720,1720,17,-0.0065591585281195,0.0154285567582608,0.0355932390478195,0.31171111111111116,0.6630904109589041
Astrocyte,MIR4300HG,499,0.0220558421660497,0.0217295045892121,0.176,0.0174297046823175,0.41,17,1720,1720,17,-0.0067876302290118,0.0181560753340108,0.0364827995828023,0.3205309090909091,0.6055562130177514
Astrocyte,AC022126.1,499,0.022045169195779,0.0216907142817256,0.134,0.0175425711232035,0.303,17,1720,1720,17,-0.0083233239829949,0.016816868598274,0.0365744441757498,0.2746172839506173,0.5131418918918919
Astrocyte,ST18,499,0.0220375778975575,0.0217032788844679,0.186,0.017530684394295,0.319,17,1720,1720,17,-0.0079010625987987,0.0175448167972403,0.0347018170254889,0.33199999999999996,0.52954
Astrocyte,FSHR,499,0.0220367342517792,0.0199954517320552,0.426,0.0260537182115925,0.261,15,50,1720,17,-0.0350895443118051,0.0152901951182007,0.1629491945476945,0.5780599455040872,0.48318959107806697
Astrocyte,COL5A2,499,0.0220249098657397,0.0222204256548931,0.553,0.0145056241493846,0.819,17,1580,1720,17,-0.029115239510562,0.0133312320629111,0.0377286703154976,0.6783103448275862,0.8790129310344826
Astrocyte,AC112770.1,499,0.0220244914387514,0.0217167821650124,0.177,0.0174594922783055,0.375,17,1720,1720,17,-0.0068255734008027,0.01603173199417,0.0352151454663348,0.3205309090909091,0.5742702702702702
Astrocyte,EYA1,499,0.0220222280144012,0.0217143873721582,0.224,0.0175988544407743,0.278,17,1720,1720,17,-0.0038726012841616,0.0167030950827547,0.0347105404370134,0.36454901960784314,0.49799999999999994
Astrocyte,CCN4,499,0.0220197161729541,0.0216678492500116,0.205,0.0172652428294682,0.509,17,1720,1720,17,-0.0081592186113088,0.0162084345226529,0.0358092064359857,0.34143812709030097,0.6888097826086956
Astrocyte,VIP,464,0.0220185357042554,0.0175592011810218,0.365,0.0346293175824222,0.104,11,31,1720,17,-0.0180324354742839,0.0202091461661302,0.1434108527131777,0.5120281690140844,0.35232653061224484
Astrocyte,PLCE1,496,0.022007467243759,0.0217457172265363,0.228,0.0171756096698515,0.611,17,1720,1720,17,-0.0102385961250377,0.015056559988445,0.0365713460699029,0.3674563106796117,0.7513037037037038
