subtype,regulator,I_R,d_edges,pc,frac,is_ad_pc
L4 IT,F11-AS1,0.032985640173352,499,15,0.04762589558959007,0
L4 IT,F11-AS1,0.032985640173352,499,16,0.043211065232753754,0
L4 IT,F11-AS1,0.032985640173352,499,17,0.03957122564315796,0
L4 IT,F11-AS1,0.032985640173352,499,18,0.0385638102889061,0
L4 IT,F11-AS1,0.032985640173352,499,19,0.05713772028684616,0
L4 IT,F11-AS1,0.032985640173352,499,20,0.04144658148288727,0
L4 IT,TAFA4,0.032416992473829,498,1,0.017036985605955124,0
L4 IT,TAFA4,0.032416992473829,498,2,0.0763687714934349,0
L4 IT,TAFA4,0.032416992473829,498,3,0.052027247846126556,0
L4 IT,TAFA4,0.032416992473829,498,4,0.04540770873427391,0
L4 IT,TAFA4,0.032416992473829,498,5,0.039254046976566315,0
L4 IT,TAFA4,0.032416992473829,498,6,0.0542924739420414,0
L4 IT,TAFA4,0.032416992473829,498,7,0.05402469262480736,0
L4 IT,TAFA4,0.032416992473829,498,8,0.052599262446165085,1
L4 IT,TAFA4,0.032416992473829,498,9,0.04254491627216339,0
L4 IT,TAFA4,0.032416992473829,498,10,0.047516413033008575,0
L4 IT,TAFA4,0.032416992473829,498,11,0.047282639890909195,0
L4 IT,TAFA4,0.032416992473829,498,12,0.039956193417310715,0
L4 IT,TAFA4,0.032416992473829,498,13,0.04624466970562935,0
L4 IT,TAFA4,0.032416992473829,498,14,0.04603664204478264,0
L4 IT,TAFA4,0.032416992473829,498,15,0.048488765954971313,0
L4 IT,TAFA4,0.032416992473829,498,16,0.06337080895900726,0
L4 IT,TAFA4,0.032416992473829,498,17,0.0503678135573864,0
L4 IT,TAFA4,0.032416992473829,498,18,0.05359712243080139,0
L4 IT,TAFA4,0.032416992473829,498,19,0.06292252987623215,0
L4 IT,TAFA4,0.032416992473829,498,20,0.06066029146313667,0
Oligodendrocyte,FMO2,0.0848160840602027,435,1,0.010440082289278507,1
Oligodendrocyte,FMO2,0.0848160840602027,435,2,0.062403012067079544,0
Oligodendrocyte,FMO2,0.0848160840602027,435,3,0.03460477665066719,0
Oligodendrocyte,FMO2,0.0848160840602027,435,4,0.06222384050488472,0
Oligodendrocyte,FMO2,0.0848160840602027,435,5,0.07271812111139297,0
Oligodendrocyte,FMO2,0.0848160840602027,435,6,0.045946210622787476,0
Oligodendrocyte,FMO2,0.0848160840602027,435,7,0.06259310245513916,0
Oligodendrocyte,FMO2,0.0848160840602027,435,8,0.04933681711554527,0
Oligodendrocyte,FMO2,0.0848160840602027,435,9,0.03643939644098282,0
Oligodendrocyte,FMO2,0.0848160840602027,435,10,0.02563808113336563,0
Oligodendrocyte,FMO2,0.0848160840602027,435,11,0.01535623800009489,0
Oligodendrocyte,FMO2,0.0848160840602027,435,12,0.09310638159513474,0
Oligodendrocyte,FMO2,0.0848160840602027,435,13,0.013509008102118969,0
Oligodendrocyte,FMO2,0.0848160840602027,435,14,0.061632271856069565,0
Oligodendrocyte,FMO2,0.0848160840602027,435,15,0.05349130928516388,0
Oligodendrocyte,FMO2,0.0848160840602027,435,16,0.12464052438735962,0
Oligodendrocyte,FMO2,0.0848160840602027,435,17,0.03390074521303177,0
Oligodendrocyte,FMO2,0.0848160840602027,435,18,0.07605518400669098,0
Oligodendrocyte,FMO2,0.0848160840602027,435,19,0.0540136955678463,0
Oligodendrocyte,FMO2,0.0848160840602027,435,20,0.01195119135081768,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,1,0.014214673079550266,1
Oligodendrocyte,MS4A6A,0.0640633603346447,464,2,0.047466229647397995,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,3,0.011224907822906971,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,4,0.036232464015483856,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,5,0.05317055806517601,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,6,0.054172221571207047,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,7,0.007374551147222519,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,8,0.012175431475043297,0
